Time,x1_CUGE,y1_CUGE,x2_CUGE,y2_CUGE,x3_CUGE,y3_CUGE
0.000,+0.970004,-0.243088,-0.970004,+0.243088,+0.000000,+0.000000
10000000.000,+8304443.168988,-1042986.777945,-6258193.237534,+4219772.301899,-2075646.895240,-3183141.646006
20000000.000,+16608895.988489,-2085974.743179,-12516393.836957,+8439551.458817,-4151296.133016,-6366288.997352
30000000.000,+24913348.824933,-3128962.707735,-18774594.450414,+12659330.634267,-6226945.373438,-9549436.368357
40000000.000,+33217801.667864,-4171950.671852,-25032795.069674,+16879109.817277,-8302594.614896,-12732583.747433
50000000.000,+41522254.514243,-5214938.635968,-31290995.692769,+21098889.004393,-10378243.857125,-15915731.130864
60000000.000,+49826707.365658,-6257926.600084,-37549196.315864,+25318668.194069,-12453893.099973,-19098878.516581
70000000.000,+58131160.217072,-7300914.564200,-43807396.938959,+29538447.385847,-14529542.342821,-22282025.905502
80000000.000,+66435613.068487,-8343902.528316,-50065597.566654,+33758226.579249,-16605191.585669,-25465173.294944
90000000.000,+74740065.919902,-9386890.491540,-56323798.197200,+37978005.772650,-18680840.828517,-28648320.684386
100000000.000,+83044518.771316,-10429878.454725,-62581998.827745,+42197784.966051,-20756490.071365,-31831468.076678
110000000.000,+91348971.622731,-11472866.417910,-68840199.458291,+46417564.159453,-22832139.314214,-35014615.469845
120000000.000,+99653424.474146,-12515854.381094,-75098400.088836,+50637343.352854,-24907788.557062,-38197762.863012
130000000.000,+107957877.325560,-13558842.344279,-81356600.719382,+54857122.546255,-26983437.799910,-41380910.256179
140000000.000,+116262330.176975,-14601830.307464,-87614801.349928,+59076901.739657,-29059087.042758,-44564057.649346
150000000.000,+124566783.028390,-15644818.270649,-93873001.980473,+63296680.933058,-31134736.285606,-47747205.042513
160000000.000,+132871235.879804,-16687806.233833,-100131202.611019,+67516460.126460,-33210385.528454,-50930352.435680
170000000.000,+141175688.743704,-17730794.198721,-106389403.241564,+71736239.319861,-35286034.768195,-54113499.828847
180000000.000,+149480141.610020,-18773782.163768,-112647603.872110,+75956018.513262,-37361684.007318,-57296647.222014
190000000.000,+157784594.476336,-19816770.128816,-118905804.502656,+80175797.706664,-39437333.246440,-60479794.615181
200000000.000,+166089047.342652,-20859758.093863,-125164005.133201,+84395576.900065,-41512982.485563,-63662942.008348
210000000.000,+174393500.208967,-21902746.058910,-131422205.763747,+88615356.093466,-43588631.724686,-66846089.401515
220000000.000,+182697953.075283,-22945734.023958,-137680406.386048,+92835135.286868,-45664280.963809,-70029236.801518
230000000.000,+191002405.941599,-23988721.989005,-143938607.001692,+97054914.480269,-47739930.202932,-73212384.202135
240000000.000,+199306858.807915,-25031709.954053,-150196807.617337,+101274693.673670,-49815579.442055,-76395531.602753
250000000.000,+207611311.674231,-26074697.919100,-156455008.232981,+105494472.867072,-51891228.681178,-79578679.003370
260000000.000,+215915764.540547,-27117685.884147,-162713208.848625,+109714252.060473,-53966877.920300,-82761826.403988
270000000.000,+224220217.406862,-28160673.849195,-168971409.464270,+113934031.253874,-56042527.159423,-85944973.804606
280000000.000,+232524670.273178,-29203661.814242,-175229610.079914,+118153810.447276,-58118176.398546,-89128121.205223
290000000.000,+240829123.139494,-30246649.779289,-181487810.695559,+122373589.640677,-60193825.637669,-92311268.605841
300000000.000,+249133576.005810,-31289637.744337,-187746011.311203,+126593368.834078,-62269474.876792,-95494416.006458
310000000.000,+257438028.872126,-32332625.709384,-194004211.926848,+130813148.027480,-64345124.115915,-98677563.407076
320000000.000,+265742481.738442,-33375613.674431,-200262412.542492,+135032927.220881,-66420773.355038,-101860710.807694
330000000.000,+274046934.584620,-34418601.639479,-206520613.158137,+139252706.414282,-68496422.599141,-105043858.208311
340000000.000,+282351387.421133,-35461589.604526,-212778813.773781,+143472485.607684,-70572071.845715,-108227005.608929
350000000.000,+290655840.257647,-36504577.569573,-219037014.389426,+147692264.801085,-72647721.092288,-111410153.009546
360000000.000,+298960293.094160,-37547565.534621,-225295215.005070,+151912043.994486,-74723370.338862,-114593300.410164
370000000.000,+307264745.930674,-38590553.499668,-231553415.620714,+156131823.187888,-76799019.585435,-117776447.810782
380000000.000,+315569198.767187,-39633541.464716,-237811616.236359,+160351602.381289,-78874668.832008,-120959595.211399
390000000.000,+323873651.603701,-40676529.429763,-244069816.852003,+164571381.574690,-80950318.078582,-124142742.612017
400000000.000,+332178104.440214,-41719517.394810,-250328017.467648,+168791160.768092,-83025967.325155,-127325890.012634
410000000.000,+340482557.276728,-42762505.359858,-256586218.083292,+173010939.961493,-85101616.571729,-130509037.413252
420000000.000,+348787010.113241,-43805493.324905,-262844418.698937,+177230719.154894,-87177265.818302,-133692184.813870
430000000.000,+357091462.949755,-44848481.289952,-269102619.317758,+181450498.348296,-89252915.064876,-136875332.214487
440000000.000,+365395915.786268,-45891469.255000,-275360819.963205,+185670277.541697,-91328564.311449,-140058479.615105
450000000.000,+373700368.622782,-46934457.220047,-281619020.608652,+189890056.735098,-93404213.558023,-143241627.015722
460000000.000,+382004821.459295,-47977445.185094,-287877221.254099,+194109835.928500,-95479862.804596,-146424774.416340
470000000.000,+390309274.295809,-49020433.150142,-294135421.899545,+198329615.121901,-97555512.051169,-149607921.816958
480000000.000,+398613727.132322,-50063421.115189,-300393622.544992,+202549394.315302,-99631161.297743,-152791069.217575
490000000.000,+406918179.968836,-51106409.080237,-306651823.190439,+206769173.508704,-101706810.544316,-155974216.618193
500000000.000,+415222632.805349,-52149397.045284,-312910023.835886,+210988952.702105,-103782459.790890,-159157364.018810
510000000.000,+423527085.641863,-53192385.010331,-319168224.481333,+215208731.895506,-105858109.037463,-162340511.419428
520000000.000,+431831538.478376,-54235372.975379,-325426425.126779,+219428511.088908,-107933758.284037,-165523658.820046
530000000.000,+440135991.314890,-55278360.940426,-331684625.772226,+223648290.282309,-110009407.530610,-168706806.220663
540000000.000,+448440444.151403,-56321348.905473,-337942826.417673,+227868069.475710,-112085056.777184,-171889953.621281
550000000.000,+456744896.987917,-57364336.870521,-344201027.063120,+232087848.669112,-114160706.023757,-175073101.021898
560000000.000,+465049349.824430,-58407324.835568,-350459227.708566,+236307627.862513,-116236355.270331,-178256248.422516
570000000.000,+473353802.660944,-59450312.800615,-356717428.354013,+240527407.055914,-118312004.516904,-181439395.823134
580000000.000,+481658255.497458,-60493300.765663,-362975628.999460,+244747186.249316,-120387653.763477,-184622543.223751
590000000.000,+489962708.333971,-61536288.730710,-369233829.644907,+248966965.442717,-122463303.010051,-187805690.624369
600000000.000,+498267161.170485,-62579276.695757,-375492030.290354,+253186744.636118,-124538952.256624,-190988838.024986
610000000.000,+506571614.006998,-63622264.660805,-381750230.935800,+257406523.829520,-126614601.503198,-194171985.425604
620000000.000,+514876066.843512,-64665252.625852,-388008431.581247,+261626303.022921,-128690250.749771,-197355132.826222
630000000.000,+523180519.680025,-65708240.590900,-394266632.226694,+265846082.216322,-130765899.996345,-200538280.226839
640000000.000,+531484972.516539,-66751228.555947,-400524832.872141,+270065861.409724,-132841549.242918,-203721427.627457
650000000.000,+539789425.374000,-67794216.516098,-406783033.517587,+274285640.603125,-134917198.484470,-206904575.028074
660000000.000,+548093878.270118,-68837204.473695,-413041234.163034,+278505419.796526,-136992847.716142,-210087722.428692
670000000.000,+556398331.166236,-69880192.431292,-419299434.808481,+282725198.989928,-139068496.947815,-213270869.829310
680000000.000,+564702784.062354,-70923180.388889,-425557635.453928,+286944978.183329,-141144146.179487,-216454017.229927
690000000.000,+573007236.958472,-71966168.346486,-431815836.099375,+291164757.376730,-143219795.411159,-219637164.630545
700000000.000,+581311689.854590,-73009156.304082,-438074036.744821,+295384536.570132,-145295444.642831,-222820312.031162
710000000.000,+589616142.750709,-74052144.261679,-444332237.390268,+299604315.763533,-147371093.874504,-226003459.431780
720000000.000,+597920595.646827,-75095132.219276,-450590438.035715,+303824094.956934,-149446743.106176,-229186606.832398
730000000.000,+606225048.542945,-76138120.176873,-456848638.681162,+308043874.150336,-151522392.337848,-232369754.233015
740000000.000,+614529501.439063,-77181108.134469,-463106839.326608,+312263653.343737,-153598041.569521,-235552901.633633
750000000.000,+622833954.335181,-78224096.092066,-469365039.972055,+316483432.537138,-155673690.801193,-238736049.034250
760000000.000,+631138407.231299,-79267084.049663,-475623240.617502,+320703211.730540,-157749340.032865,-241919196.434868
770000000.000,+639442860.127418,-80310072.007260,-481881441.262949,+324922990.923941,-159824989.264537,-245102343.835486
780000000.000,+647747313.023536,-81353059.964857,-488139641.908396,+329142770.117342,-161900638.496210,-248285491.236103
790000000.000,+656051765.919654,-82396047.922453,-494397842.553842,+333362549.310744,-163976287.727882,-251468638.636721
800000000.000,+664356218.815772,-83439035.880050,-500656043.199289,+337582328.504145,-166051936.959554,-254651786.037338
810000000.000,+672660671.711890,-84482023.837647,-506914243.844736,+341802107.697546,-168127586.191227,-257834933.437956
820000000.000,+680965124.608008,-85525011.795244,-513172444.490183,+346021886.890948,-170203235.422899,-261018080.838574
830000000.000,+689269577.504127,-86567999.752840,-519430645.135629,+350241666.084349,-172278884.654571,-264201228.239191
840000000.000,+697574030.400245,-87610987.710437,-525688845.781076,+354461445.277750,-174354533.886243,-267384375.639809
850000000.000,+705878483.296363,-88653975.668034,-531947046.426523,+358681224.471152,-176430183.117916,-270567523.020465
860000000.000,+714182936.192481,-89696963.625631,-538205247.071970,+362901003.664553,-178505832.349588,-273750670.391280
870000000.000,+722487389.088599,-90739951.583228,-544463447.717417,+367120782.857954,-180581481.581260,-276933817.762095
880000000.000,+730791841.984717,-91782939.540824,-550721648.362863,+371340562.051356,-182657130.812933,-280116965.132911
890000000.000,+739096294.880836,-92825927.498421,-556979849.008310,+375560341.244757,-184732780.044605,-283300112.503726
900000000.000,+747400747.776954,-93868915.456018,-563238049.653757,+379780120.438158,-186808429.276277,-286483259.874541
910000000.000,+755705200.673072,-94911903.413615,-569496250.299204,+383999899.631560,-188884078.507950,-289666407.245357
920000000.000,+764009653.569190,-95954891.371211,-575754450.944650,+388219678.824961,-190959727.739622,-292849554.616172
930000000.000,+772314106.465308,-96997879.328808,-582012651.590097,+392439458.018362,-193035376.971294,-296032701.986987
940000000.000,+780618559.361426,-98040867.286405,-588270852.235544,+396659237.211764,-195111026.202966,-299215849.357802
950000000.000,+788923012.257545,-99083855.244002,-594529052.880991,+400879016.405165,-197186675.434639,-302398996.728618
960000000.000,+797227465.153663,-100126843.201599,-600787253.526438,+405098795.598566,-199262324.666311,-305582144.099433
970000000.000,+805531918.049781,-101169831.159195,-607045454.171884,+409318574.791968,-201337973.897983,-308765291.470248
980000000.000,+813836370.945899,-102212819.116792,-613303654.817331,+413538353.985369,-203413623.129656,-311948438.841063
990000000.000,+822140823.842017,-103255807.074389,-619561855.462778,+417758133.178770,-205489272.361328,-315131586.211879
1000000000.000,+830445276.738135,-104298795.031986,-625820056.108225,+421977912.372172,-207564921.593000,-318314733.582694
